json_path,json_name,json_subtitle,status,method,notes,csv_line,id,uziti,zalm,verse,lekcionar,strana,doba,prilezitost,cyklus,odpoved,kb
data/json/advent/advent_1.json,1. neděle adventní,,matched,exact-fixed,,2,Ps122_01,ID_0001,Žl 122(121),1-2.(4-5.6-7).8-9,1A,69,Advent,1. neděle adventní,A,1,259
data/json/advent/advent_1.json,1. neděle adventní,,matched,exact-fixed,,3,Ps080_03,ID_0002,Žl 80(79),2ac+3b.15-16.18-19,1B,17,Advent,1. neděle adventní,B,2,149
data/json/advent/advent_1.json,1. neděle adventní,,matched,exact-fixed,,4,Ps025_09,ID_0003,Žl 25(24),4-5ab.8-9.10+14,1C,16,Advent,1. neděle adventní,C,3,44
data/json/advent/advent_2.json,2. neděle adventní,,matched,exact-fixed,,11,Ps072_04,ID_0010,Žl 72(71),1-2.7-8.12-13.17,1A,72,Advent,2. neděle adventní,A,4,144
data/json/advent/advent_2.json,2. neděle adventní,,matched,exact-fixed,,12,Ps085_05,ID_0011,Žl 85(84),9ab+10.11-12.13-14,1B,20,Advent,2. neděle adventní,B,4,159
data/json/advent/advent_2.json,2. neděle adventní,,matched,exact-fixed,,13,Ps126_01,ID_0012,Žl 126(125),1-2ab.2cd-3.4-5.6,1C,20,Advent,2. neděle adventní,C,5,263
data/json/advent/advent_3.json,3. neděle adventní,,matched,exact-fixed,,20,Ps146_06,ID_0019,Žl 146(145),6c-7.8-9a.9bc-10,1A,76,Advent,3. neděle adventní,A,2,294
data/json/advent/advent_3.json,3. neděle adventní,,matched,exact-fixed,,21,Lk1_01,ID_0020,Lk 1,46-48a.48b-50.53-54,1B,23,Advent,3. neděle adventní,B,6,317
data/json/advent/advent_3.json,3. neděle adventní,,matched,exact-fixed,,22,Iz12_02,ID_0021,Iz 12,2-3.4bcd.5-6,1C,23,Advent,3. neděle adventní,C,39,310
data/json/advent/advent_4.json,4. neděle adventní,,matched,exact-fixed,,28,Ps024_02,ID_0027,Žl 24(23),1-2.3-4ab.5-6,1A,78,Advent,4. neděle adventní,A,8,36
data/json/advent/advent_4.json,4. neděle adventní,,matched,exact-fixed,,29,Ps089_05,ID_0028,Žl 89(88),2-3.4-5.27+29,1B,27,Advent,4. neděle adventní,B,9,163
data/json/advent/advent_4.json,4. neděle adventní,,matched,exact-fixed,,30,Ps080_03,ID_0029,Žl 80(79),2ac+3b.15-16.18-19,1C,26,Advent,4. neděle adventní,C,2,149
data/json/mezidobi/mezidobi_02_A.json,2. neděle v mezidobí A,,matched,exact,,280,Ps040_03,ID_0279,Žl 40(39),2+4ab.7-8a.8b-9.10,1A,246,e-Mezidobí,2. neděle v mezidobí,A,45,89
data/json/mezidobi/mezidobi_02_B.json,2. neděle v mezidobí B,,matched,exact,,281,Ps040_03,ID_0280,Žl 40(39),2+4ab.7-8a.8b-9.10,1B,208,e-Mezidobí,2. neděle v mezidobí,B,45,89
data/json/mezidobi/mezidobi_02_C.json,2. neděle v mezidobí C,,matched,exact,,282,Ps096_11,ID_0281,Žl 96(95),1-2a.2b-3.7-8a.9-10a,1C,213,e-Mezidobí,2. neděle v mezidobí,C,40,179
data/json/mezidobi/mezidobi_03_A.json,3. neděle v mezidobí A,,matched,exact,,295,Ps027_04,ID_0294,Žl 27(26),1.4.13-14,1A,249,e-Mezidobí,3. neděle v mezidobí,A,20,53
data/json/mezidobi/mezidobi_03_B.json,3. neděle v mezidobí B,,matched,exact,,296,Ps025_07,ID_0295,Žl 25(24),4-5ab.6+7bc.8-9,1B,211,e-Mezidobí,3. neděle v mezidobí,B,17,40
